Vastus medialis (mV)	Time (ms)
-0.0008	1.22
-0.003	1.221
-0.0023	1.222
-0.003	1.223
-0.003	1.224
-0.0015	1.225
0.0007	1.226
0.003	1.227
0.003	1.228
0.0045	1.229
0.0052	1.23
0.0045	1.231
0.003	1.232
0.0022	1.233
0.0007	1.234
0.0	1.235
0.0007	1.236
0.0007	1.237
-0.0008	1.238
-0.003	1.239
-0.0046	1.24
-0.006	1.241
-0.0053	1.242
-0.0038	1.243
-0.0023	1.244
-0.0046	1.245
-0.0053	1.246
-0.0046	1.247
-0.0023	1.248
-0.0015	1.249
-0.003	1.25
-0.0023	1.251
0.0	1.252
0.0	1.253
0.0007	1.254
0.003	1.255
0.0007	1.256
0.0007	1.257
0.0022	1.258
0.003	1.259
0.003	1.26
0.0015	1.261
0.0007	1.262
-0.0015	1.263
-0.003	1.264
-0.0023	1.265
0.0	1.266
0.0022	1.267
0.0045	1.268
0.0045	1.269
0.003	1.27
0.0	1.271
-0.0008	1.272
-0.0008	1.273
-0.0015	1.274
-0.0008	1.275
-0.003	1.276
-0.0038	1.277
-0.003	1.278
-0.0008	1.279
0.0007	1.28
0.0007	1.281
-0.0015	1.282
-0.0008	1.283
0.0007	1.284
0.0	1.285
0.0007	1.286
0.0	1.287
-0.0008	1.288
-0.0015	1.289
-0.0038	1.29
-0.0053	1.291
-0.0038	1.292
-0.0015	1.293
0.0	1.294
0.0007	1.295
0.0015	1.296
0.003	1.297
0.0015	1.298
-0.003	1.299
-0.003	1.3
0.0	1.301
0.0015	1.302
0.0037	1.303
0.003	1.304
0.0007	1.305
-0.0008	1.306
0.0	1.307
0.0037	1.308
0.0052	1.309
0.0045	1.31
0.003	1.311
0.0022	1.312
0.0022	1.313
0.0007	1.314
-0.0008	1.315
-0.003	1.316
-0.0023	1.317
-0.0008	1.318
0.0	1.319
-0.0015	1.32
-0.0015	1.321
-0.0015	1.322
-0.0023	1.323
0.0007	1.324
0.0007	1.325
-0.0008	1.326
-0.0008	1.327
0.0	1.328
0.0	1.329
0.0	1.33
-0.0008	1.331
-0.0023	1.332
-0.0023	1.333
-0.003	1.334
-0.003	1.335
-0.0015	1.336
-0.0015	1.337
0.0007	1.338
0.0015	1.339
0.0007	1.34
0.0015	1.341
0.0022	1.342
0.0045	1.343
0.003	1.344
0.0015	1.345
0.003	1.346
0.0007	1.347
-0.0015	1.348
-0.0008	1.349
0.0007	1.35
0.0	1.351
-0.0015	1.352
-0.0023	1.353
-0.0015	1.354
-0.0023	1.355
-0.003	1.356
-0.0038	1.357
-0.0038	1.358
-0.0038	1.359
-0.0023	1.36
-0.0015	1.361
-0.0023	1.362
-0.0015	1.363
0.0007	1.364
0.003	1.365
0.0045	1.366
0.006	1.367
0.003	1.368
0.003	1.369
0.0045	1.37
0.0045	1.371
0.003	1.372
0.0	1.373
-0.0008	1.374
-0.0023	1.375
-0.0023	1.376
-0.0015	1.377
-0.0008	1.378
0.0007	1.379
0.0007	1.38
0.0015	1.381
0.0	1.382
-0.0015	1.383
-0.0015	1.384
-0.0008	1.385
-0.0008	1.386
-0.0008	1.387
0.0015	1.388
0.0015	1.389
0.0015	1.39
-0.0008	1.391
0.0007	1.392
0.0045	1.393
0.003	1.394
0.0007	1.395
0.0	1.396
0.0015	1.397
0.0007	1.398
0.003	1.399
0.0045	1.4
0.0015	1.401
-0.0008	1.402
-0.0023	1.403
-0.003	1.404
-0.003	1.405
-0.003	1.406
-0.003	1.407
-0.0038	1.408
-0.003	1.409
-0.003	1.41
-0.0038	1.411
-0.0023	1.412
-0.0023	1.413
-0.0015	1.414
-0.0015	1.415
-0.003	1.416
-0.003	1.417
-0.0023	1.418
-0.0008	1.419
0.0	1.42
0.0022	1.421
0.0007	1.422
0.0015	1.423
0.0037	1.424
0.0022	1.425
0.0022	1.426
0.003	1.427
0.0037	1.428
0.0045	1.429
0.0045	1.43
0.003	1.431
0.0022	1.432
0.0015	1.433
0.0007	1.434
0.0022	1.435
0.0037	1.436
0.003	1.437
0.0	1.438
-0.0008	1.439
-0.0008	1.44
-0.0015	1.441
-0.0008	1.442
0.0007	1.443
0.0007	1.444
0.0	1.445
-0.0008	1.446
0.0	1.447
0.003	1.448
0.0015	1.449
0.0015	1.45
0.0015	1.451
0.0007	1.452
0.0007	1.453
0.0007	1.454
-0.0015	1.455
-0.0038	1.456
-0.003	1.457
-0.0053	1.458
-0.0053	1.459
-0.0046	1.46
-0.0038	1.461
-0.0023	1.462
0.0015	1.463
0.003	1.464
0.0022	1.465
0.0015	1.466
0.0007	1.467
-0.0008	1.468
-0.0023	1.469
-0.0015	1.47
-0.0008	1.471
-0.0015	1.472
-0.003	1.473
-0.003	1.474
-0.0046	1.475
-0.0053	1.476
-0.0046	1.477
-0.0046	1.478
-0.0038	1.479
-0.0053	1.48
-0.0053	1.481
-0.003	1.482
-0.0008	1.483
0.0015	1.484
0.0022	1.485
0.0022	1.486
0.0007	1.487
0.0015	1.488
0.003	1.489
0.0052	1.49
0.0052	1.491
0.0067	1.492
0.006	1.493
0.003	1.494
0.003	1.495
0.0015	1.496
0.0015	1.497
